n_particles,w,c1,c2,penalty_method,rho,C,alpha,best_position,objective_value,inequality_0,inequality_1,violated
19,1.1796910002727694,1.7984250789732434,2.2229163764267956,ADAPTIVE,NA,0.7296244459829336,1.333708611139022,"[1.3499675087693985, 0.4711898706662332]",-0.36961652157415936,0.11390898413933004,-13.178842620564367,True
19,1.1796910002727694,1.7984250789732434,2.2229163764267956,ADAPTIVE,NA,0.7296244459829336,1.333708611139022,"[2.8912951518658767, 0.0]",-0.0013018378800621299,0.75,-12.108704848134124,True
43,0.4564115790271003,1.8609993861334124,2.4692763545078753,STATIC,107.70978182604185,NA,NA,"[1.6000486178823223, 0.4671092382845514]",-0.3663682370573954,0.002602508882739163,-12.932842143833126,True
10,0.4230624250414158,1.7623873301291946,2.1999304858576276,ADAPTIVE,NA,0.9868777594207296,1.2327713404303042,"[1.607633665560631, 0.46567617973470454]",-0.3656478043220533,0.0013632962088256928,-12.926690154704664,True
41,0.7824619912671629,1.9916154429033943,2.23338144662399,STATIC,8613.410026689575,NA,NA,"[1.5963584836049893, 0.47392386909315115]",-0.3614411040039577,-0.006552389009752191,-12.92971764730186,False
57,0.9632882178455393,1.692708251269958,2.007983126110107,STATIC,2385.848873659276,NA,NA,"[0.0, 0.857082422151577]",-0.2694027808469511,0.75,-14.142917577848422,True
52,0.5733646535077721,1.6955303037866205,2.0911180438940313,ADAPTIVE,NA,0.7125779372456225,1.207941662868189,"[1.4292690252426865, 0.20722476911339993]",-0.6027515220597294,0.4538200562431501,-13.363506205643914,True
12,1.2422847745949985,1.724877066684883,2.1975751180009073,ADAPTIVE,NA,0.8636359979282104,1.3265407688058355,"[2.885629355769077, 0.0]",-0.0014238343470640595,0.75,-12.114370644230924,True
36,1.3611720243493493,1.9222669243390758,2.3736600550686906,ADAPTIVE,NA,0.7933755828319242,1.965255307264138,"[1.5805165744785854, 0.014977887970746284]",-0.6322444069243419,0.726327199811552,-13.40450553755067,True
24,0.6962735057040824,1.5826334695315012,2.007818203370597,ADAPTIVE,NA,0.6974407590877849,1.2934881747180382,"[1.6896994860765213, 0.3841351197736609]",-0.40275681915224487,0.10092708553450225,-12.926165394149818,True
20,1.11134195274865,1.895087770265603,2.302979987390506,STATIC,9270.378697282156,NA,NA,"[3.4530754479045984, 0.0]",-0.00255474854359979,0.75,-11.546924552095401,True
32,0.49541011649041133,1.6854091260991333,2.334420626331804,ADAPTIVE,NA,0.7956488938538636,1.2747217929900643,"[1.5813991625409418, 0.46966955616782635]",-0.36852386355151984,0.007264957205223577,-12.948931281291232,True
29,1.3717120953891038,1.9244569121330422,2.3608647605824364,ADAPTIVE,NA,0.628034161380662,1.0404335895384313,"[0.0, 0.0]",nan,0.75,-15.0,True
16,0.8393365018657701,1.600859601167698,2.44788179783676,ADAPTIVE,NA,0.7816377859881919,1.6955160864261276,"[1.5877968446675026, 0.4722952247878093]",-0.36483420470283456,9.113233038759994e-05,-12.939907930544688,True
40,0.9398410913016731,1.6015306123673847,2.4714267852789904,STATIC,6028.768118236508,NA,NA,"[1.9201660565770613, 0.0]",-0.4058936429402334,0.75,-13.079833943422939,True
25,0.5054942598302706,1.7282672852414551,2.109220218608417,ADAPTIVE,NA,0.9416401294594343,1.324345021005274,"[1.601174628467908, 0.4662576096735526]",-0.3668131219583516,0.003440145060614519,-12.93256776185854,True
28,1.306828441545754,1.6360661246923176,2.3238450602706813,STATIC,105.1517322536266,NA,NA,"[1.6968093678502083, 0.46142919264801185]",-0.33980793072376714,-0.032957376684705,-12.84176143950178,False
37,0.8848299713589833,1.8462180164451352,2.1347061668992606,STATIC,2516.842670252965,NA,NA,"[1.6310291966777632, 0.8547537346924693]",-0.08991334841951162,-0.6441282972527762,-12.514217068629767,False
30,0.4648922471089816,1.6269577069671723,2.1234380314193007,ADAPTIVE,NA,0.8561352949622211,1.1480869299534,"[1.7021410647336066, 0.25258525988415825]",-0.487071618231616,0.32006425680476414,-13.045273675382235,True
23,1.376614955832653,1.7055185066591156,2.0165253664502742,ADAPTIVE,NA,0.817175672350682,1.680705451554767,"[1.2242183994380584, 0.43010085817472454]",-0.3695530119822739,0.22346261580840332,-13.345680742387216,True
32,0.952893089071328,1.796348361939697,2.0404266631663575,ADAPTIVE,NA,0.621079969138713,1.803139756379896,"[2.656102097146139, 0.07909779143610454]",-0.01682824444044331,0.5399081902869348,-12.264800111417756,True
54,0.4250708815879991,1.6453547594531284,2.0,ADAPTIVE,NA,0.5370691230521633,1.0593559915702984,"[1.5932108880368734, 0.2579263108182117]",-0.5342320207042501,0.3390689932932423,-13.148862801144915,True
59,1.3932885328880857,1.7790288864972066,2.0,ADAPTIVE,NA,1.0,1.0,"[0.0, 0.0]",nan,0.75,-15.0,True
60,0.5660811149756722,1.5,2.0,ADAPTIVE,NA,0.7240853661999871,1.0,"[1.4710968715217188, 0.4044146857351067]",-0.4420207377633384,0.15506682101764546,-13.124488442743175,True
